architecture,task_id,task_revision,model_id,condition_id,trials,reachable_successes,reachability_rate,reachability_ci_lower,reachability_ci_upper,task_successes,task_success_rate,task_success_ci_lower,task_success_ci_upper,blindness_reports,blindness_rate,blindness_ci_lower,blindness_ci_upper,reachable_success,reachable_failure,unreachable_success,unreachable_failure,mean_actions,mean_input_tokens,mean_output_tokens,mean_total_tokens,mean_tokens_per_action,mean_elapsed_seconds,mean_provider_cost_usd
dom_extraction,read-known-value,2,foundry-kimi-k2-6,iframe-cross-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7431.2,299.3,7730.5,7730.5,10.6406836,
dom_extraction,read-known-value,2,foundry-kimi-k2-6,iframe-same-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7355.4,283.7,7639.1,7639.1,12.3343495,
dom_extraction,read-known-value,2,foundry-kimi-k2-6,iframe-same-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.1,8148.1,368.8,8516.9,7742.636363636364,9.5736899,
dom_extraction,read-known-value,2,foundry-kimi-k2-6,iframe-same-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7437.8,281.2,7719.0,7719.0,13.037517099999999,
dom_extraction,read-known-value,2,foundry-kimi-k2-6,level-0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7299.0,291.8,7590.8,7590.8,6.6599606,
dom_extraction,read-known-value,2,foundry-kimi-k2-6,rendered-canvas,10,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,5,0.5,0.236593090512564,0.7634069094874361,0,0,0,10,6.7,51004.1,4870.4,55874.5,8339.477611940298,166.4019749,
dom_extraction,read-known-value,2,foundry-kimi-k2-6,shadow-closed,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7326.4,374.3,7700.7,7700.7,8.1541523,
dom_extraction,read-known-value,2,foundry-kimi-k2-6,shadow-nested-open-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7344.6,310.2,7654.8,7654.8,8.7212986,
dom_extraction,read-known-value,2,foundry-kimi-k2-6,shadow-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7323.4,324.4,7647.8,7647.8,12.1258717,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,19424.8,98.7,19523.5,6507.833333333333,5.4561432,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,24460.4,95.3,24555.7,8185.233333333334,5.4867767999999995,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,iframe-cross-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,29764.3,102.8,29867.1,9955.7,5.6476248,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,19421.0,93.7,19514.7,6504.9,5.2087656,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,24744.7,102.6,24847.3,8282.433333333332,5.382478900000001,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,iframe-same-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,29881.9,105.6,29987.5,9995.833333333334,5.4526604,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,level-0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,13647.9,85.6,13733.5,4577.833333333333,4.8159714000000005,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,rendered-canvas,10,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,0,0,0,10,1.0,3985.5,99.3,4084.8,4084.8,2.5577384,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,shadow-closed,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,13974.6,96.6,14071.2,4690.4,4.9850809,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,shadow-nested-open-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,14389.2,92.8,14482.0,4827.333333333333,4.825177999999999,
accessibility_tree,copy-known-value,5,foundry-gpt-5-6-terra,shadow-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,13966.9,91.4,14058.3,4686.1,4.9206105,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,21632.3,5921.2,27553.5,9184.5,56.5758842,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.3,29075.3,8094.1,37169.4,11263.454545454546,66.26767079999999,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-cross-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.3,34688.5,7641.1,42329.6,12827.151515151516,55.8098072,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-same-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,9,0.9,0.5958499732047615,0.9821237869049271,0,0.0,0.0,0.2775327998628892,9,1,0,0,2.9,20428.2,3924.4,24352.6,8397.448275862069,65.5434765,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-same-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.3,29905.7,7894.0,37799.7,11454.454545454546,64.5239741,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,iframe-same-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,9,0.9,0.5958499732047615,0.9821237869049271,0,0.0,0.0,0.2775327998628892,9,1,0,0,2.9,30948.6,5133.7,36082.3,12442.172413793103,62.18693449999999,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,level-0,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.1,14387.9,3399.4,17787.3,5737.8387096774195,25.1592467,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,rendered-canvas,10,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,0,0.0,0.0,0.2775327998628892,0,0,0,10,2.5,9641.7,14161.1,23802.8,9521.12,115.62263829999999,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,shadow-closed,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.2,16070.6,4815.0,20885.6,6526.75,44.364802600000004,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,shadow-nested-open-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,15062.8,3852.1,18914.9,6304.966666666666,42.6426824,
accessibility_tree,copy-known-value,5,foundry-kimi-k2-6,shadow-open,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,3.0,14589.8,4089.1,18678.9,6226.3,46.696269,
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-depth-1,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,5666.8,24.0,5690.8,5690.8,1.7371638999999999,
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-depth-2,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,7372.2,24.0,7396.2,7396.2,1.7756254999999999,
accessibility_tree,read-known-value,2,foundry-gpt-5-6-terra,iframe-cross-depth-3,10,10,1.0,0.7224672001371107,0.9999999999999999,10,1.0,0.7224672001371107,0.9999999999999999,0,0.0,0.0,0.2775327998628892,10,0,0,0,1.0,9080.3,24.0,9104.3,9104.3,1.8949930000000001,
