model,task_id,layout,metric,count,n,rate,low,high
foundry/gpt-5.6-terra,copy-known-value,form,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,copy-known-value,table,exact_match,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5.6-terra,copy-known-value,table,substring_match,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5.6-terra,copy-known-value,table,target_without_marker,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5.6-terra,copy-known-value,table,content_exact,9,10,0.9,0.5958499732047615,0.9821237869049271
foundry/gpt-5.6-terra,copy-known-value,table,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,cards,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,cards,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,cards,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,cards,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,cards,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,form,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,form,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,form,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,form,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,form,delimitation_error,0,10,0.0,0.0,0.2775327998628892
foundry/gpt-5.6-terra,read-known-value,table,exact_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,table,substring_match,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,table,target_without_marker,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,table,content_exact,10,10,1.0,0.7224672001371107,0.9999999999999999
foundry/gpt-5.6-terra,read-known-value,table,delimitation_error,0,10,0.0,0.0,0.2775327998628892
