model,layout,gap,metric,count,n,rate,low,high
foundry/gpt-5.4,form,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,form,8,substring_match,31,40,0.775,0.6249690325768998,0.8768390867645927
foundry/gpt-5.4,form,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,form,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,form,8,delimitation_error,31,40,0.775,0.6249690325768998,0.8768390867645927
foundry/gpt-5.4,form,40,exact_match,19,40,0.475,0.329354701126789,0.6250263789330753
foundry/gpt-5.4,form,40,substring_match,24,40,0.6,0.44595893660346186,0.7365167431570808
foundry/gpt-5.4,form,40,target_without_marker,19,40,0.475,0.329354701126789,0.6250263789330753
foundry/gpt-5.4,form,40,content_exact,19,40,0.475,0.329354701126789,0.6250263789330753
foundry/gpt-5.4,form,40,delimitation_error,5,40,0.125,0.05459500250945401,0.261121198388511
foundry/gpt-5.4,form,96,exact_match,22,40,0.55,0.39829091798932054,0.6929469218909508
foundry/gpt-5.4,form,96,substring_match,22,40,0.55,0.39829091798932054,0.6929469218909508
foundry/gpt-5.4,form,96,target_without_marker,22,40,0.55,0.39829091798932054,0.6929469218909508
foundry/gpt-5.4,form,96,content_exact,22,40,0.55,0.39829091798932054,0.6929469218909508
foundry/gpt-5.4,form,96,delimitation_error,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,table,8,exact_match,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,table,8,substring_match,31,40,0.775,0.6249690325768998,0.8768390867645927
foundry/gpt-5.4,table,8,target_without_marker,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,table,8,content_exact,0,40,0.0,0.0,0.08762160119728664
foundry/gpt-5.4,table,8,delimitation_error,31,40,0.775,0.6249690325768998,0.8768390867645927
foundry/gpt-5.4,table,40,exact_match,22,40,0.55,0.39829091798932054,0.6929469218909508
foundry/gpt-5.4,table,40,substring_match,24,40,0.6,0.44595893660346186,0.7365167431570808
foundry/gpt-5.4,table,40,target_without_marker,22,40,0.55,0.39829091798932054,0.6929469218909508
foundry/gpt-5.4,table,40,content_exact,22,40,0.55,0.39829091798932054,0.6929469218909508
